1,1,3,1,Survei Pemotongan Hewan
2,1,3,4,Laporan Ternak Besar (LTT)
3,1,3,4,Laporan Ternak Unggas (LTU)
4,1,3,2,Survei Penangkapan Ikan (PP-TPI)
5,1,3,4,Laporan Tahunan Budaya Ikan (LTB)
6,1,4,3,Updating Ruta Ubinan Palawija
7,1,4,3,Tanaman Pangan Ubinan
8,1,4,1,Survei Kerangka Sampel Area (KSA)
9,1,5,1,Survei Pertanian Hortikultura Sayuran & Buah Semusim (SBS)
10,1,5,4,Survei Pertanian Hortikultura Sayuran & Buah Tahunan (BST)
11,1,5,4,Survei Pertanian Hortikultura Tanaman Biofarma (SPH-TBF)
12,1,5,4,Survei Pertanian Hortikultura Tanaman Hias (SPH-TH)
13,1,5,4,Survei Usaha Hortikultura Lainnya (VN-Horti)
14,2,1,4,Listing Survei Industri Kecil dan Mikro (IMK)
15,2,1,2,Pencacahan Survei Industri Kecil dan Mikro (IMK)
16,2,1,4,Pemutakhiran DPA 
17,2,1,4,Survei Tahunan Perusahaan Industri Manufaktur (STPIM)
18,2,2,2,Galian BH & Air Bersin
19,2,2,1,Galian BH Triwulanan
20,2,2,1,Air Bersih Triwulanan
21,2,2,4,Captive Power
22,2,2,4,Pengutipan Direktori Konstrukri
23,2,2,4,Updating Direktori Perusahaan Konstruksi (UDP) 
24,2,2,4,Updating Direktori Perusahaan Pertambangan dan Energi (UDPE) 
25,2,2,2,Survei Konstruksi Triwulanan (SKTR) 
26,2,2,4,Survei Konstruksi Tahunan (SKTH)
